Vardas         Pavarde          ND1  ND2  ND3  ND4  ND5  EGZ
Jonas          Petrauskas      7    8    6    9    10   8
Ona            Jankauskaite    5    7    8    6    9    7
Tomas          Suminas         9    10   8    9    10   9
Ruta           Zukauskiene     6    5    7    6    8    6
Marius         Dapkus          8    8    9    7    9    8
Egle           Baltrunaite     4    6    5    5    6    5
Andrius        Zemaitis        10   9    10   10   10   10
Lina           Grigiene        7    7    6    8    7    6
Dainius        Navickas        8    8    7    8    9    8
Inga           Sauliute        6    5    7    5    6    6
Vaida          Vaitkus         7    9    8    9    9    8
Mindaugas      Karciauskas     8    7    8    7    8    7
Jurate         Leskiene        5    6    5    6    7    6
Raimondas      Petraitis       9    8    10   9    10   9
Gabriele       Maironiene      6    5    6    5    6    5
Viktoras       Gudinaitis      8    9    9    8    9    8
